STATION_ID,DURATION,SENSOR_NUMBER,SENS_TYPE,DATE TIME,OBS DATE,VALUE,DATA_FLAG,UNITS
HWE,M,15,STORAGE,2001-10-01 00:00,2001-10-01 00:00,"19,960",,AF
HWE,M,15,STORAGE,2001-11-01 00:00,2001-11-01 00:00,"19,960",,AF
HWE,M,15,STORAGE,2001-12-01 00:00,2001-12-01 00:00,"22,380",,AF
HWE,M,15,STORAGE,2002-01-01 00:00,2002-01-01 00:00,"29,150",,AF
HWE,M,15,STORAGE,2002-02-01 00:00,2002-02-01 00:00,"29,680",,AF
HWE,M,15,STORAGE,2002-03-01 00:00,2002-03-01 00:00,"27,180",,AF
HWE,M,15,STORAGE,2002-04-01 00:00,2002-04-01 00:00,"31,970",,AF
HWE,M,15,STORAGE,2002-05-01 00:00,2002-05-01 00:00,"31,360",,AF
HWE,M,15,STORAGE,2002-06-01 00:00,2002-06-01 00:00,"30,530",,AF
HWE,M,15,STORAGE,2002-07-01 00:00,2002-07-01 00:00,"27,600",,AF
HWE,M,15,STORAGE,2002-08-01 00:00,2002-08-01 00:00,"22,650",,AF
HWE,M,15,STORAGE,2002-09-01 00:00,2002-09-01 00:00,"18,660",,AF
HWE,M,15,STORAGE,2002-10-01 00:00,2002-10-01 00:00,"22,560",,AF
HWE,M,15,STORAGE,2002-11-01 00:00,2002-11-01 00:00,"28,160",,AF
HWE,M,15,STORAGE,2002-12-01 00:00,2002-12-01 00:00,"30,100",,AF
HWE,M,15,STORAGE,2003-01-01 00:00,2003-01-01 00:00,"31,910",,AF
HWE,M,15,STORAGE,2003-02-01 00:00,2003-02-01 00:00,"33,100",,AF
HWE,M,15,STORAGE,2003-03-01 00:00,2003-03-01 00:00,"28,700",,AF
HWE,M,15,STORAGE,2003-04-01 00:00,2003-04-01 00:00,"29,340",,AF
HWE,M,15,STORAGE,2003-05-01 00:00,2003-05-01 00:00,"28,850",,AF
HWE,M,15,STORAGE,2003-06-01 00:00,2003-06-01 00:00,"34,950",,AF
HWE,M,15,STORAGE,2003-07-01 00:00,2003-07-01 00:00,"32,530",,AF
HWE,M,15,STORAGE,2003-08-01 00:00,2003-08-01 00:00,"30,360",,AF
HWE,M,15,STORAGE,2003-09-01 00:00,2003-09-01 00:00,"23,470",,AF
HWE,M,15,STORAGE,2003-10-01 00:00,2003-10-01 00:00,"21,530",,AF
HWE,M,15,STORAGE,2003-11-01 00:00,2003-11-01 00:00,"22,810",,AF
HWE,M,15,STORAGE,2003-12-01 00:00,2003-12-01 00:00,"23,590",,AF
HWE,M,15,STORAGE,2004-01-01 00:00,2004-01-01 00:00,"24,610",,AF
HWE,M,15,STORAGE,2004-02-01 00:00,2004-02-01 00:00,"27,840",,AF
HWE,M,15,STORAGE,2004-03-01 00:00,2004-03-01 00:00,"31,100",,AF
HWE,M,15,STORAGE,2004-04-01 00:00,2004-04-01 00:00,"31,380",,AF
HWE,M,15,STORAGE,2004-05-01 00:00,2004-05-01 00:00,"29,580",,AF
HWE,M,15,STORAGE,2004-06-01 00:00,2004-06-01 00:00,"34,950",,AF
HWE,M,15,STORAGE,2004-07-01 00:00,2004-07-01 00:00,"30,360",,AF
HWE,M,15,STORAGE,2004-08-01 00:00,2004-08-01 00:00,"23,660",,AF
HWE,M,15,STORAGE,2004-09-01 00:00,2004-09-01 00:00,"20,790",,AF
HWE,M,15,STORAGE,2004-10-01 00:00,2004-10-01 00:00,"25,160",,AF
HWE,M,15,STORAGE,2004-11-01 00:00,2004-11-01 00:00,"26,880",,AF
HWE,M,15,STORAGE,2004-12-01 00:00,2004-12-01 00:00,"27,540",,AF
HWE,M,15,STORAGE,2005-01-01 00:00,2005-01-01 00:00,"31,340",,AF
HWE,M,15,STORAGE,2005-02-01 00:00,2005-02-01 00:00,"31,310",,AF
HWE,M,15,STORAGE,2005-03-01 00:00,2005-03-01 00:00,"24,240",,AF
HWE,M,15,STORAGE,2005-04-01 00:00,2005-04-01 00:00,"21,080",,AF
HWE,M,15,STORAGE,2005-05-01 00:00,2005-05-01 00:00,"22,590",,AF
HWE,M,15,STORAGE,2005-06-01 00:00,2005-06-01 00:00,"23,070",,AF
HWE,M,15,STORAGE,2005-07-01 00:00,2005-07-01 00:00,"29,130",,AF
HWE,M,15,STORAGE,2005-08-01 00:00,2005-08-01 00:00,"25,590",,AF
HWE,M,15,STORAGE,2005-09-01 00:00,2005-09-01 00:00,"24,930",,AF
HWE,M,15,STORAGE,2005-10-01 00:00,2005-10-01 00:00,"29,510",,AF
HWE,M,15,STORAGE,2005-11-01 00:00,2005-11-01 00:00,"26,160",,AF
HWE,M,15,STORAGE,2005-12-01 00:00,2005-12-01 00:00,"27,750",,AF
HWE,M,15,STORAGE,2006-01-01 00:00,2006-01-01 00:00,"35,580",,AF
HWE,M,15,STORAGE,2006-02-01 00:00,2006-02-01 00:00,"35,180",,AF
HWE,M,15,STORAGE,2006-03-01 00:00,2006-03-01 00:00,"25,350",,AF
HWE,M,15,STORAGE,2006-04-01 00:00,2006-04-01 00:00,"23,290",,AF
HWE,M,15,STORAGE,2006-05-01 00:00,2006-05-01 00:00,"26,740",,AF
HWE,M,15,STORAGE,2006-06-01 00:00,2006-06-01 00:00,"31,290",,AF
HWE,M,15,STORAGE,2006-07-01 00:00,2006-07-01 00:00,"37,210",,AF
HWE,M,15,STORAGE,2006-08-01 00:00,2006-08-01 00:00,"33,040",,AF
HWE,M,15,STORAGE,2006-09-01 00:00,2006-09-01 00:00,"21,980",,AF
HWE,M,15,STORAGE,2006-10-01 00:00,2006-10-01 00:00,"24,160",,AF
HWE,M,15,STORAGE,2006-11-01 00:00,2006-11-01 00:00,"24,280",,AF
HWE,M,15,STORAGE,2006-12-01 00:00,2006-12-01 00:00,"27,030",,AF
HWE,M,15,STORAGE,2007-01-01 00:00,2007-01-01 00:00,"30,030",,AF
HWE,M,15,STORAGE,2007-02-01 00:00,2007-02-01 00:00,"30,650",,AF
HWE,M,15,STORAGE,2007-03-01 00:00,2007-03-01 00:00,"30,180",,AF
HWE,M,15,STORAGE,2007-04-01 00:00,2007-04-01 00:00,"31,770",,AF
HWE,M,15,STORAGE,2007-05-01 00:00,2007-05-01 00:00,"30,560",,AF
HWE,M,15,STORAGE,2007-06-01 00:00,2007-06-01 00:00,"28,870",,AF
HWE,M,15,STORAGE,2007-07-01 00:00,2007-07-01 00:00,"29,790",,AF
HWE,M,15,STORAGE,2007-08-01 00:00,2007-08-01 00:00,"22,680",,AF
HWE,M,15,STORAGE,2007-09-01 00:00,2007-09-01 00:00,"21,000",,AF
HWE,M,15,STORAGE,2007-10-01 00:00,2007-10-01 00:00,"21,060",,AF
HWE,M,15,STORAGE,2007-11-01 00:00,2007-11-01 00:00,"24,120",,AF
HWE,M,15,STORAGE,2007-12-01 00:00,2007-12-01 00:00,"26,040",,AF
