STATION_ID,Year,VALUE,Elevation,Latitude,Longitude,Basin #,Basin Name,Area,Volume
BDG,1966,0.0117475,6470,38.25,-119.233,10801,WALKER RIVER,4222049.953,49598.531822867495
BDG,1967,0.020828,6470,38.25,-119.233,10801,WALKER RIVER,4222049.953,87936.856421084
BDG,1968,0.01691216666666667,6470,38.25,-119.233,10801,WALKER RIVER,4222049.953,71404.01248012818
BDG,1969,0.03924299999999999,6470,38.25,-119.233,10801,WALKER RIVER,4222049.953,165685.90630557897
BDG,1970,0.024384,6470,38.25,-119.233,10801,WALKER RIVER,4222049.953,102950.466053952
BDG,1971,0.021124333333333332,6470,38.25,-119.233,10801,WALKER RIVER,4222049.953,89187.99055715633
BDG,1972,0.018372666666666666,6470,38.25,-119.233,10801,WALKER RIVER,4222049.953,77570.31643648466
BDG,1973,0.023981833333333334,6470,38.25,-119.233,10801,WALKER RIVER,4222049.953,101252.49829785383
BDG,1974,0.02321983333333333,6470,38.25,-119.233,10801,WALKER RIVER,4222049.953,98035.2962336678
BDG,1975,0.022224999999999998,6470,38.25,-119.233,10801,WALKER RIVER,4222049.953,93835.06020542499
BDG,1976,0.009524999999999999,6470,38.25,-119.233,10801,WALKER RIVER,4222049.953,40215.02580232499
BDG,1977,0.026542999999999997,6470,38.25,-119.233,10801,WALKER RIVER,4222049.953,112065.87190247898
BDG,1978,0.01750483333333333,6470,38.25,-119.233,10801,WALKER RIVER,4222049.953,73906.28075227281
BDG,1979,0.0243205,6470,38.25,-119.233,10801,WALKER RIVER,4222049.953,102682.3658819365
BDG,1980,0.01585383333333333,6470,38.25,-119.233,10801,WALKER RIVER,4222049.953,66935.67627986982
BDG,1981,0.025759833333333333,6470,38.25,-119.233,10801,WALKER RIVER,4222049.953,108759.30311428782
BDG,1982,0.05287433333333333,6470,38.25,-119.233,10801,WALKER RIVER,4222049.953,223238.0765649063
BDG,1983,0.03420533333333333,6470,38.25,-119.233,10801,WALKER RIVER,4222049.953,144416.62599234932
BDG,1984,0.010625666666666665,6470,38.25,-119.233,10801,WALKER RIVER,4222049.953,44862.09545059366
BDG,1985,0.037676666666666664,6470,38.25,-119.233,10801,WALKER RIVER,4222049.953,159072.76872919666
BDG,1986,0.009122833333333333,6470,38.25,-119.233,10801,WALKER RIVER,4222049.953,38517.05804622683
BDG,1987,0.013144499999999998,6470,38.25,-119.233,10801,WALKER RIVER,4222049.953,55496.73560720849
BDG,1988,0.014308666666666666,6470,38.25,-119.233,10801,WALKER RIVER,4222049.953,60411.90542749266
BDG,1989,0.018436166666666663,6470,38.25,-119.233,10801,WALKER RIVER,4222049.953,77838.41660850015
BDG,1990,0.008932333333333332,6470,38.25,-119.233,10801,WALKER RIVER,4222049.953,37712.75753018032
BDG,1991,0.018944166666666665,6470,38.25,-119.233,10801,WALKER RIVER,4222049.953,79983.21798462415
BDG,1992,0.015515166666666667,6470,38.25,-119.233,10801,WALKER RIVER,4222049.953,65505.808695787164
BDG,1993,0.012551833333333332,6470,38.25,-119.233,10801,WALKER RIVER,4222049.953,52994.467335063826
BDG,1994,0.015134166666666666,6470,38.25,-119.233,10801,WALKER RIVER,4222049.953,63897.20766369416
BDG,1995,0.030903333333333335,6470,38.25,-119.233,10801,WALKER RIVER,4222049.953,130475.41704754333
BDG,1996,0.030691666666666662,6470,38.25,-119.233,10801,WALKER RIVER,4222049.953,129581.74980749164
BDG,1997,0.024341666666666668,6470,38.25,-119.233,10801,WALKER RIVER,4222049.953,102771.73260594167
BDG,1998,0.026373666666666667,6470,38.25,-119.233,10801,WALKER RIVER,4222049.953,111350.93811043767
BDG,1999,0.012932833333333333,6470,38.25,-119.233,10801,WALKER RIVER,4222049.953,54603.068367156826
BDG,2000,0.014605000000000002,6470,38.25,-119.233,10801,WALKER RIVER,4222049.953,61663.039563565006
BDG,2001,0.018033999999999998,6470,38.25,-119.233,10801,WALKER RIVER,4222049.953,76140.44885240198
